date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year,ev_market_share
2021-04-01,29,0,0,398,2022,Q1,4,2021,0.0
2021-04-01,29,1,0,361,2022,Q1,4,2021,0.0
2021-05-01,29,0,0,113,2022,Q1,5,2021,0.0
2021-05-01,29,1,0,98,2022,Q1,5,2021,0.0
2021-06-01,29,0,0,229,2022,Q1,6,2021,0.0
2021-06-01,29,1,0,244,2022,Q1,6,2021,0.0
2021-07-01,29,0,0,458,2022,Q2,7,2021,0.0
2021-07-01,29,1,0,452,2022,Q2,7,2021,0.0
2021-08-01,29,0,0,489,2022,Q2,8,2021,0.0
2021-08-01,29,1,0,408,2022,Q2,8,2021,0.0
2021-09-01,29,0,0,540,2022,Q2,9,2021,0.0
2021-09-01,29,1,0,355,2022,Q2,9,2021,0.0
2021-10-01,29,0,0,455,2022,Q3,10,2021,0.0
2021-10-01,29,1,0,345,2022,Q3,10,2021,0.0
2021-11-01,29,0,0,478,2022,Q3,11,2021,0.0
2021-11-01,29,1,0,351,2022,Q3,11,2021,0.0
2021-12-01,29,0,0,454,2022,Q3,12,2021,0.0
2021-12-01,29,1,0,394,2022,Q3,12,2021,0.0
2022-01-01,29,0,0,400,2022,Q4,1,2022,0.0
2022-01-01,29,1,0,270,2022,Q4,1,2022,0.0
2022-02-01,29,0,0,384,2022,Q4,2,2022,0.0
2022-02-01,29,1,0,371,2022,Q4,2,2022,0.0
2022-03-01,29,0,0,460,2022,Q4,3,2022,0.0
2022-03-01,29,1,0,390,2022,Q4,3,2022,0.0
2022-04-01,29,0,0,455,2023,Q1,4,2022,0.0
2022-04-01,29,1,0,380,2023,Q1,4,2022,0.0
2022-05-01,29,0,0,461,2023,Q1,5,2022,0.0
2022-05-01,29,1,0,421,2023,Q1,5,2022,0.0
2022-06-01,29,0,0,429,2023,Q1,6,2022,0.0
2022-06-01,29,1,0,446,2023,Q1,6,2022,0.0
2022-07-01,29,0,0,409,2023,Q2,7,2022,0.0
2022-07-01,29,1,0,439,2023,Q2,7,2022,0.0
2022-08-01,29,0,0,394,2023,Q2,8,2022,0.0
2022-08-01,29,1,0,421,2023,Q2,8,2022,0.0
2022-09-01,29,0,0,443,2023,Q2,9,2022,0.0
2022-09-01,29,1,0,581,2023,Q2,9,2022,0.0
2022-10-01,29,0,0,371,2023,Q3,10,2022,0.0
2022-10-01,29,1,0,340,2023,Q3,10,2022,0.0
2022-11-01,29,0,0,431,2023,Q3,11,2022,0.0
2022-11-01,29,1,0,411,2023,Q3,11,2022,0.0
2022-12-01,29,0,0,274,2023,Q3,12,2022,0.0
2022-12-01,29,1,0,288,2023,Q3,12,2022,0.0
2023-01-01,29,0,0,470,2023,Q4,1,2023,0.0
2023-01-01,29,1,0,420,2023,Q4,1,2023,0.0
2023-02-01,29,0,0,324,2023,Q4,2,2023,0.0
2023-02-01,29,1,0,364,2023,Q4,2,2023,0.0
2023-03-01,29,0,0,454,2023,Q4,3,2023,0.0
2023-03-01,29,1,0,505,2023,Q4,3,2023,0.0
2023-04-01,29,0,0,465,2024,Q1,4,2023,0.0
2023-04-01,29,1,0,439,2024,Q1,4,2023,0.0
2023-05-01,29,0,0,507,2024,Q1,5,2023,0.0
2023-05-01,29,1,0,448,2024,Q1,5,2023,0.0
2023-06-01,29,0,0,517,2024,Q1,6,2023,0.0
2023-06-01,29,1,0,457,2024,Q1,6,2023,0.0
2023-07-01,29,0,0,423,2024,Q2,7,2023,0.0
2023-07-01,29,1,0,371,2024,Q2,7,2023,0.0
2023-08-01,29,0,0,465,2024,Q2,8,2023,0.0
2023-08-01,29,1,0,460,2024,Q2,8,2023,0.0
2023-09-01,29,0,0,546,2024,Q2,9,2023,0.0
2023-09-01,29,1,0,509,2024,Q2,9,2023,0.0
2023-10-01,29,0,0,398,2024,Q3,10,2023,0.0
2023-10-01,29,1,0,389,2024,Q3,10,2023,0.0
2023-11-01,29,0,0,470,2024,Q3,11,2023,0.0
2023-11-01,29,1,0,403,2024,Q3,11,2023,0.0
2023-12-01,29,0,0,365,2024,Q3,12,2023,0.0
2023-12-01,29,1,0,318,2024,Q3,12,2023,0.0
2024-01-01,29,0,0,509,2024,Q4,1,2024,0.0
2024-01-01,29,1,0,422,2024,Q4,1,2024,0.0
2024-02-01,29,0,0,408,2024,Q4,2,2024,0.0
2024-02-01,29,1,0,375,2024,Q4,2,2024,0.0
2024-03-01,29,0,0,399,2024,Q4,3,2024,0.0
2024-03-01,29,1,0,455,2024,Q4,3,2024,0.0
2021-04-01,1,0,0,515,2022,Q1,4,2021,0.0
2021-04-01,3,0,0,1256,2022,Q1,4,2021,0.0
2021-04-01,3,1,0,724,2022,Q1,4,2021,0.0
2021-04-01,4,1,0,6576,2022,Q1,4,2021,0.0
2021-04-01,7,1,0,1563,2022,Q1,4,2021,0.0
2021-04-01,8,1,0,278,2022,Q1,4,2021,0.0
2021-04-01,14,1,0,5107,2022,Q1,4,2021,0.0
2021-04-01,18,0,0,2,2022,Q1,4,2021,0.0
2021-04-01,18,1,0,20,2022,Q1,4,2021,0.0
2021-04-01,21,1,0,808,2022,Q1,4,2021,0.0
2021-04-01,22,0,0,1189,2022,Q1,4,2021,0.0
2021-04-01,23,0,0,1507,2022,Q1,4,2021,0.0
2021-04-01,23,1,0,281,2022,Q1,4,2021,0.0
2021-04-01,24,0,0,561,2022,Q1,4,2021,0.0
2021-04-01,24,1,0,747,2022,Q1,4,2021,0.0
2021-04-01,26,1,0,655,2022,Q1,4,2021,0.0
